2023-06-19 17:07:59,513 INFO    MainThread:19320 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-19 17:07:59,514 INFO    MainThread:19320 [wandb_setup.py:_flush():76] Configure stats pid to 19320
2023-06-19 17:07:59,514 INFO    MainThread:19320 [wandb_setup.py:_flush():76] Loading settings from C:\Users\0005h\.config\wandb\settings
2023-06-19 17:07:59,514 INFO    MainThread:19320 [wandb_setup.py:_flush():76] Loading settings from C:\Users\0005h\OneDrive\Documents\programming\pycharm\Bachelor_thesis\wandb\settings
2023-06-19 17:07:59,514 INFO    MainThread:19320 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-19 17:07:59,514 INFO    MainThread:19320 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_bbox.py', 'program': 'C:\\Users\\0005h\\OneDrive\\Documents\\programming\\pycharm\\Bachelor_thesis\\train_bbox.py'}
2023-06-19 17:07:59,525 INFO    MainThread:19320 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\0005h\OneDrive\Documents\programming\pycharm\Bachelor_thesis\wandb\run-20230619_170759-v6rsixks\logs\debug.log
2023-06-19 17:07:59,525 INFO    MainThread:19320 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\0005h\OneDrive\Documents\programming\pycharm\Bachelor_thesis\wandb\run-20230619_170759-v6rsixks\logs\debug-internal.log
2023-06-19 17:07:59,525 INFO    MainThread:19320 [wandb_init.py:init():547] calling init triggers
2023-06-19 17:07:59,525 INFO    MainThread:19320 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'epochs': [5, 10, 20], 'learning_rate': 0.01, 'batch_size': 64, 'model_version': 1}
2023-06-19 17:07:59,525 INFO    MainThread:19320 [wandb_init.py:init():596] starting backend
2023-06-19 17:07:59,526 INFO    MainThread:19320 [wandb_init.py:init():600] setting up manager
2023-06-19 17:07:59,540 INFO    MainThread:19320 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-06-19 17:07:59,549 INFO    MainThread:19320 [wandb_init.py:init():606] backend started and connected
2023-06-19 17:07:59,550 INFO    MainThread:19320 [wandb_init.py:init():703] updated telemetry
2023-06-19 17:07:59,623 INFO    MainThread:19320 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-19 17:08:00,165 INFO    MainThread:19320 [wandb_run.py:_on_init():2176] communicating current version
2023-06-19 17:08:00,239 INFO    MainThread:19320 [wandb_run.py:_on_init():2185] got version response 
2023-06-19 17:08:00,239 INFO    MainThread:19320 [wandb_init.py:init():787] starting run threads in backend
2023-06-19 17:08:00,468 INFO    MainThread:19320 [wandb_run.py:_console_start():2155] atexit reg
2023-06-19 17:08:00,468 INFO    MainThread:19320 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-19 17:08:00,468 INFO    MainThread:19320 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-19 17:08:00,468 INFO    MainThread:19320 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-19 17:08:00,470 INFO    MainThread:19320 [wandb_init.py:init():828] run started, returning control to user process
2023-06-19 17:08:00,702 INFO    MainThread:19320 [wandb_watch.py:watch():51] Watching
2023-06-19 17:08:04,869 INFO    MainThread:19320 [wandb_run.py:_finish():1890] finishing run korytheholy/tHesis/v6rsixks
2023-06-19 17:08:04,869 INFO    MainThread:19320 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 1
2023-06-19 17:08:04,869 INFO    MainThread:19320 [wandb_run.py:_restore():2107] restore
2023-06-19 17:08:04,869 INFO    MainThread:19320 [wandb_run.py:_restore():2113] restore done
2023-06-19 17:08:10,462 INFO    MainThread:19320 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-19 17:08:10,462 INFO    MainThread:19320 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-19 17:08:10,467 INFO    MainThread:19320 [wandb_run.py:_footer_sync_info():3426] logging synced files
